sample_id,utterance,context,gold_label,free_emotions,free_emotions_norm,mapped_label,mapping_method,mapping_confidence,mapping_reason,is_demo
S0011,"Dad, please dont pick your teeth out here!",,disgust,disapproval|annoyance,disapproval|annoyance,anger,hybrid_dictionary_plus_fallback,0.75,Dictionary majority vote over normalized emotion words.,false
S0014,"I'm sorry, honey, I promise it will never happen again.","Chandler: There huhhmm, there-there was an incident. Mrs. Bing: And I don't even know how it happened. Joey: Dont worry about that man, that happens.",sadness,apologetic|concerned,apologetic|concerned,anger,heuristic_llm_fallback,0.55,"Unresolved words: apologetic, concerned; used text-level fallback.",false
S0013,"Oh! Ohhhhh! Oh! Phoebe, come here. Aw, this is my new bed. You gotta feel this bad boy.",Phoebe: Ow! Phoebe: Hi. Y'know in England this car would be on the other side of the store.  Woo! Chandler: What problem did you tell him you had?,joy,excitement|enthusiasm,excitement|enthusiasm,joy,hybrid_dictionary_plus_fallback,0.75,Dictionary majority vote over normalized emotion words.,false
S0016,Shielding your face and shrieking like a girl... is not a backhand.,"Monica: Yeah, I talked to you on the phone, Im the lady that got stuck with the racecar bed. Chandler: Excuse me little one, I have a very solid backhand. Jester: Look, its like I told you, theres nothing I can do. You signed for it, Monica Velula Geller.",disgust,mocking|critical,mocking|critical,neutral,heuristic_llm_fallback,0.55,"Unresolved words: mocking, critical; used text-level fallback.",false
S0015,No-no! Don't do it! Don't!,"Monica: Just let me finish, okay? Chandler: All right, let me in. Ross: Alright?",fear,,,neutral,default_neutral,0.4,No mappable emotion words found.,false
S0017,"You gotta help me out here, you gotta set me up, you gotta get me back in the game.","Chandler: I never sucked, I actually didn't want you to know how good I was! Monica: And y'know what, I just realised, in the last year Ive only gone out with two guys, Richard and Julio.",fear,,,neutral,default_neutral,0.4,No mappable emotion words found.,false
S0018,Okay. But the question is whos gonna go first. Cause whoever goes second is the bitch.,"Monica: Okay well then, Ill fire him today and you go out with him for another week. Phoebe: Are you kidding?! Another week with that sip, Ill kill Monica: Okay well, then well both do it today and hell just have to deal with it!",sadness,,,neutral,default_neutral,0.4,No mappable emotion words found.,false
S0019,"So, rocks.","Chandler: Okay, what is in here? Rocks? Janice: Oh, my Bing-a-ling. Ill wait for you. Do you even know how long youre going to be gone? Ross: No-no, this is my collection of fossil samples.",disgust,confused|puzzled,confused|puzzled,surprise,heuristic_llm_fallback,0.55,"Unresolved words: confused, puzzled; used text-level fallback.",false
S0020,"Ohh. Hey, remember when I ran into this thing  and it kinda knocked me out a little?","Chandler: So, rocks. Janice: Oh. Well, Ill right you everyday.  15 Yemen Road, Yemen. Ross: I'm really gonna miss this apartment. Y'know, Ben-Ben took his first steps right over there.",joy,nostalgic|reflective,nostalgic|reflective,fear,heuristic_llm_fallback,0.55,"Unresolved words: nostalgic, reflective; used text-level fallback.",false
S0022,"Youre going to a clinic, and a pyjama store!","Chandler: No, no-n-n-n-no!! Ross: Perhaps. Now Im curious, at what point during those girlish screams would you have begun to Chandler: You are going to a clinic!",disgust,confusion|exaggeration,confusion|exaggeration,neutral,heuristic_llm_fallback,0.55,"Unresolved words: confusion, exaggeration; used text-level fallback.",false
S0021,Were not even shootin them anymore?!!,"Joey: Like theyre taking it off the air? Joey: Ohh. Joey: All right, see you Monday.",surprise,surprise|confusion,surprise|confusion,surprise,hybrid_dictionary_plus_fallback,0.75,Dictionary majority vote over normalized emotion words.,false
S0023,I dont think Id be comfortable with any of my old lovers there.,"Rachel: How would you feel about taking out my assistant Tag? Ill pay. Ross: Yeah? Joey: Huh, Rach I got to say its gonna take a lot of money for me to go out on a date with a dude.",sadness,hesitant|uncomfortable,hesitant|uncomfortable,neutral,heuristic_llm_fallback,0.55,"Unresolved words: hesitant, uncomfortable; used text-level fallback.",false
S0024,"Wait-wait-wait, do you, do you think, maybe we shouldnt invite her?","Joey: Huh, Rach I got to say its gonna take a lot of money for me to go out on a date with a dude. Emily: I dont think Id be comfortable with any of my old lovers there. Rachel: Im not asking you to go on a",fear,hesitant|uncertain,hesitant|uncertain,surprise,heuristic_llm_fallback,0.55,"Unresolved words: hesitant, uncertain; used text-level fallback.",false
S0025,Who cares? I repel women.,"Chandler: Okay, is this lamp in the same place? Rachel: Okay, I have to tell you something that I have never admitted during our entire friendship!",disgust,frustration|self-deprecation,frustration|self-deprecation,neutral,heuristic_llm_fallback,0.55,"Unresolved words: frustration, self-deprecation; used text-level fallback.",false
S0026,Hi Jill!,"A Female Student: Yeah, what's up with that girl Monica? Jill: Me too. Phoebe: I don't know! I didn't come with her!",joy,greeting|casual,greeting|casual,neutral,hybrid_dictionary_plus_fallback,0.75,Dictionary majority vote over normalized emotion words.,false
S0027,Oh my God!  Go away!  Stop looking in here!,"Chandler: I might have some kind of life, like I haven't been sitting around here honing for the past few hours. Chandler: Man to uh, me. Monica: Look look! He's doing it again, the guy with the telescope!",anger,annoyance|frustration,annoyance|frustration,anger,hybrid_dictionary_plus_fallback,0.75,Dictionary majority vote over normalized emotion words.,false
S0028,"Uh, it's 2:30 in the morning!","Ross: Ok, bye.  Well, Monica's not coming, it's just gonna be me and Rachel. Monica: Where are you guys going? Come on, one more game! Chandler: Oh. Well, hold on camper, are you sure you've thought this thing through?",sadness,surprise|confusion,surprise|confusion,surprise,hybrid_dictionary_plus_fallback,0.75,Dictionary majority vote over normalized emotion words.,false
S0030,Or we could throw you both in,"Paleontologist: Ok Geller. Last day of the conference, you know what happens to the keynote speaker. Ross: Oh, professor Clerk we're kind of in the middle of a conversation, here. Charlie: Yeah, can you guys just throw him in the pool later?",joy,,,neutral,default_neutral,0.4,No mappable emotion words found.,false
S0029,"Uh, well... Joey and I broke up.","Rachel: Are you seriousReally?! Its in such good condition. Phoebe: Okay! Ross: Yes, please!  So, what's going on?",sadness,sadness|hesitation,sadness|hesitation,sadness,hybrid_dictionary_plus_fallback,0.75,Dictionary majority vote over normalized emotion words.,false
S0032,Really?,"Ross: Wow! This is so amazing. I uh, I really thought Id have to talk you into this more. Rachel: What-wh-what so well just stay married forever?! Ross: Okay, look, how is this gonna affect you?",anger,surprise|uncertainty,surprise|uncertainty,surprise,hybrid_dictionary_plus_fallback,0.75,Dictionary majority vote over normalized emotion words.,false
S0031,"Yes, exactly!","Phoebe: Oh, ew! Rachel: Okay! So, well just stay married.",joy,agreement|affirmation,agreement|affirmation,neutral,heuristic_llm_fallback,0.55,"Unresolved words: agreement, affirmation; used text-level fallback.",false
S0034,Yknow how people just click?,"Joanna: Chandler is fantastic!! Joanna: Because if you feel uncomfortable with your friend dating someone you work for, there are always ways to fix...that. Rachel: What?!",joy,,,neutral,default_neutral,0.4,No mappable emotion words found.,false
S0033,No!,"Joey: It can’t be me, I’m standing right here. Joanna: Why?! Why?! He said hed call. Why hasnt he called? Mr. Geller: Wanna peek?",disgust,anger|disbelief,anger|disbelief,anger,hybrid_dictionary_plus_fallback,0.75,Dictionary majority vote over normalized emotion words.,false
S0035,"Like he came by to pick me up, and I opened the door, and it was just like, click!","Joanna: Because if you feel uncomfortable with your friend dating someone you work for, there are always ways to fix...that. Rachel: What?! Joanna: Yknow how people just click?",joy,surprise|amusement,surprise|amusement,neutral,default_neutral,0.4,No mappable emotion words found.,false
S0036,I did not cry my eyes out!!,"Rachel: I can get a quick bite to eat, but then I have to come back up here. Joey: Hey! Ross: Come on sweetie! You?ve had to work late every night for the past two weeks, what is it this time?",anger,defensive|frustrated,defensive|frustrated,anger,hybrid_dictionary_plus_fallback,0.75,Dictionary majority vote over normalized emotion words.,false
S0037,"Oh yeah well, you know me, babies, responsibilities, ahhh!!!","Rachel: Oh boy, I just can't watch. It's too scary! Janice: Wait! Wait! I wanna see this. After I divorce him, half of that kingdom is gonna be mine. Monica: It's a diaper commercial.",fear,exasperated|frustrated,exasperated|frustrated,anger,hybrid_dictionary_plus_fallback,0.75,Dictionary majority vote over normalized emotion words.,false
S0038,I wanna see whats in your hand. I wanna see the trash.,"Joey: You said, you wanna come in for some lemonade? Monica: Why do you want to see my hand? Monica: So?!",disgust,curious|playful,curious|playful,neutral,heuristic_llm_fallback,0.55,"Unresolved words: curious, playful; used text-level fallback.",false
S0040,"Eww! Oh, its all dirty. You should throw this out.","Monica: So?! Phoebe: I wanna see whats in your hand. I wanna see the trash. Joey: Whoa, ah!! Were you just gonna give me some lemonade?",disgust,disgust|annoyance,disgust|annoyance,neutral,default_neutral,0.4,No mappable emotion words found.,false
S0039,Yeah huh!! Cover yourself up!,"Monica: So?! Phoebe: I wanna see whats in your hand. I wanna see the trash. Joey: Whoa, ah!! Were you just gonna give me some lemonade?",disgust,annoyance|disapproval,annoyance|disapproval,anger,hybrid_dictionary_plus_fallback,0.75,Dictionary majority vote over normalized emotion words.,false
S0041,"Hi! Oh, Im so glad you called.",Monica: Thank you!    You haven't said anything... Ross: Hi! Its me. 3rd Customer: Actually I do have one small complaint.,joy,joy|relief,joy|relief,joy,hybrid_dictionary_plus_fallback,0.75,Dictionary majority vote over normalized emotion words.,false
S0042,"Well for the regular guy, its bad, but Chandler, Oh dear God!",Joey: Okay! Monica: How bad is this? Joey: Uh-oh.,fear,concern|surprise,concern|surprise,surprise,hybrid_dictionary_plus_fallback,0.75,Dictionary majority vote over normalized emotion words.,false
S0043,Whoa!,"Rachel: No, but I was doing my thing and everything was going according to the plan! Phoebe: Thank you, I need that. Monica: Oh God, stop with the plan!",surprise,surprise|amusement,surprise|amusement,neutral,default_neutral,0.4,No mappable emotion words found.,false
S0044,"Oh, right, OK. Ole.","Duncan: I missed you.  I'm gonna get changed. Phoebe: OK. Duncan: Um, now. Phoebs.",neutral,acknowledgment|indifference,acknowledgment|indifference,fear,heuristic_llm_fallback,0.55,"Unresolved words: acknowledgment, indifference; used text-level fallback.",false
S0046,"We were walking by this antique store, and I saw this pin in the window, and I told him that it was just like one my grandmother had when I was a little girl.",Phoebe: Remembered what? Ross: Really?! Rachel: It was like months ago.,sadness,nostalgia|reflection,nostalgia|reflection,neutral,heuristic_llm_fallback,0.55,"Unresolved words: nostalgia, reflection; used text-level fallback.",false
S0045,"Oh myThis is so embarrassing. Oh my God, Im never gonna get massaged again!",Rachel: Hey! Phoebe: I mean hi. Joey: What's happening?,fear,,,neutral,default_neutral,0.4,No mappable emotion words found.,false
S0047,F-hah.... flennin....,"Monica: I can't believe he did this. Chandler: Come on, Ross? Remember back in college, when he fell in love with Carol and bought her that ridiculously expensive crystal duck? Rachel: What did you just say?",fear,amused|mocking,amused|mocking,joy,hybrid_dictionary_plus_fallback,0.75,Dictionary majority vote over normalized emotion words.,false
S0048,I really like waking up with you.,,joy,affection|happiness,affection|happiness,neutral,heuristic_llm_fallback,0.55,"Unresolved words: affection, happiness; used text-level fallback.",false
S0050,Okay.,"Phoebe: You guys make a Chandler: Thats a mailman! Thats Joey: Yeah, we look great together.",neutral,indifferent|unimpressed,indifferent|unimpressed,neutral,hybrid_dictionary_plus_fallback,0.75,Dictionary majority vote over normalized emotion words.,false
S0049,Who am I?,Ross: Where does that leave me? Susan: You get to be the baby's father. Susan: Everyone knows who you are.,anger,confusion|uncertainty,confusion|uncertainty,neutral,heuristic_llm_fallback,0.55,"Unresolved words: confusion, uncertainty; used text-level fallback.",false
S0051,Isabella Rosselini.,"Ross: Thank you. Monica: Of course not. Isabella: Um, coffee to go, please.",neutral,neutral|casual,neutral|casual,neutral,dictionary,0.8500000000000001,Dictionary majority vote over normalized emotion words.,false
S0052,"Oh-oh, you lie.","Monica: Why? Cause otherwise youd go for it? Chandler: Oh well you're the best. You come here to me. Ross: Yeah, maybe.",disgust,suspicious|accusatory,suspicious|accusatory,neutral,heuristic_llm_fallback,0.55,"Unresolved words: suspicious, accusatory; used text-level fallback.",false
S0053,Well! Well! Well! Joey Tribbiani! So you came back huh? They,"Joey: Hey Estelle, listen Ross: Okay. Chandler: Hey, Mon.",surprise,surprise|skepticism,surprise|skepticism,surprise,hybrid_dictionary_plus_fallback,0.75,Dictionary majority vote over normalized emotion words.,false
S0054,"Yay!! Oh so, youre not, youre not mad at us anymore?","Monica: Hi, how are you doing Kelly? Joey: It looks like a women's purse. Joey: Oh, unbelievable! We had the best time!",joy,relief|joy,relief|joy,joy,hybrid_dictionary_plus_fallback,0.75,Dictionary majority vote over normalized emotion words.,false
S0056,No! He blew us off!,"Joey: I dont get it! Ross: Hey! So uh, was he excited about the tickets?",anger,frustration|disappointment,frustration|disappointment,sadness,hybrid_dictionary_plus_fallback,0.75,Dictionary majority vote over normalized emotion words.,false
S0055,"Oh, y'know Joey, you are sick!","Monica: It's my new perfume. Why don't you come closer where you can Joey: See look, Joey: No!",disgust,disgust|annoyance,disgust|annoyance,neutral,default_neutral,0.4,No mappable emotion words found.,false
S0058,"So, Im sorry I just dont think we should go away together yet.","Elizabeth: Oh good. Joey: I got in there myself once. Ross: Look, I  Look, Im having a great time with you and I just dont want us to move to fast or put to much pressure on us.",sadness,apologetic|cautious,apologetic|cautious,joy,heuristic_llm_fallback,0.55,"Unresolved words: apologetic, cautious; used text-level fallback.",false
S0057,"Look, I  Look, Im having a great time with you and I just dont want us to move to fast or put to much pressure on us.","Ross: Yeah, it kinda grows on you.  Actually, I wanted to finish talking to you about uh, spring vacation. Joey: Oh yeah! Elizabeth: Oh good.",fear,cautious|honest|thoughtful,cautious|honest|thoughtful,joy,heuristic_llm_fallback,0.55,"Unresolved words: cautious, honest, thoughtful; used text-level fallback.",false
S0060,"I got it! Hey, you get to sleep with her, I get the cramps.","Carol: Ow, ow, ow, ow, leg cramp, leg cramp, leg cramp. Ross: I got it. Susan: I got it.",anger,playful|teasing,playful|teasing,neutral,heuristic_llm_fallback,0.55,"Unresolved words: playful, teasing; used text-level fallback.",false
S0059,Oh my God. You guys! You gotta come see this! There's some creep out there with a telescope!,"Rachel: So, um, will you bring the truck? Ross: I don't know, you don't wanna mess with corn nuts. They're craaazy. Fireman No. 3: I'll even let you ring the bell.",fear,surprise|alarm,surprise|alarm,surprise,hybrid_dictionary_plus_fallback,0.75,Dictionary majority vote over normalized emotion words.,false
S0062,"On no! No! Its not good-bye, Im not leaving until you get on that plane.","Phoebe: Was it not pain-free? Chandler: Well, were really not that close.  Okay, so I guess this is uh, good-bye then. Monica: No. It was painful. Oh my God , they should call it Pain-zine, now with a little wax.",sadness,desperation|pleading,desperation|pleading,surprise,heuristic_llm_fallback,0.55,"Unresolved words: desperation, pleading; used text-level fallback.",false
S0061,You dont know how that happened?! Your dog thought my diaphragm was a chew toy!,"Joey: Whoa-whoa-whoa-whoa, I-IHey! I did The Dry Cleaner: Thats my wife!!! Get out! Mr. Geller: Well, Id gotten Judy pregnant. I still dont know how that happened.",disgust,frustration|anger,frustration|anger,anger,hybrid_dictionary_plus_fallback,0.75,Dictionary majority vote over normalized emotion words.,false
S0064,Why are we in bed together?,Rachel: Ohhh! Joey: Whatever.,surprise,confusion|surprise,confusion|surprise,surprise,hybrid_dictionary_plus_fallback,0.75,Dictionary majority vote over normalized emotion words.,false
S0063,I-I do though.,"Phoebe: Thats good. I got to admit, I thought it was something else. David: Yeah, I Well I really actually wanted to say umm, that, but um, I figured I probably shouldnt because yknow, Ihave to leave. Phoebe: Youre right! Youre right. Dont say it.",sadness,hesitant|apologetic,hesitant|apologetic,neutral,heuristic_llm_fallback,0.55,"Unresolved words: hesitant, apologetic; used text-level fallback.",false
S0065,"And it came out, ""Squatternut buash?""","Joey: Hey, I wasn't the only one who looked like an idiot. Joey: All right? Joey: Remember when Ross tried to say, ""Butternut squash?""",joy,amused|playful,amused|playful,joy,hybrid_dictionary_plus_fallback,0.75,Dictionary majority vote over normalized emotion words.,false
S0066,Chandler that's crazy!,"Monica: Why, exactly? Ross: My first time with Carol was... Chandler: Because of the weekend, we had a fight.",surprise,surprise|amusement,surprise|amusement,neutral,default_neutral,0.4,No mappable emotion words found.,false
S0068,"Yeah, yeah, you go talk to your friend. You tell him, ""Nice try.""","Tom: I'm sorry? Rachel: No, it's all right, you can just drop the act Tommy. Tom: I'm gonna go talk to uh, a friend.",disgust,,,neutral,default_neutral,0.4,No mappable emotion words found.,false
S0067,I got my hair coloured!,"Doug: Hi. So good news, the divorce is final. I signed the papers this A.M. Rachel: Ive been waiting for this for months! Chandler: I didnt know you and Carol were getting divorced, Im sorry.",joy,excited|happy,excited|happy,joy,dictionary,0.8500000000000001,Dictionary majority vote over normalized emotion words.,false
S0070,"My marriage, I think my marriage is um, is kinda over.","Phoebe: Oh, its already closed, Chris gave me the keys to lock up-what is wrong? Danny: So you like the short hair better. Chandler: Okay! You dont think I thought of that?",sadness,sadness|concern,sadness|concern,sadness,hybrid_dictionary_plus_fallback,0.75,Dictionary majority vote over normalized emotion words.,false
S0069,"Look, Pheebs, I just, I wanna apologize for, for saying that your method was stupid and-and maybe ask you to be my teacher again.","Gunther: Remind me to review with you which pot is decaf and which is regular. Phoebe: No, I can't talk to you! I don't have a fancy ad in the Yellow Pages!",sadness,apologetic|hopeful,apologetic|hopeful,anger,heuristic_llm_fallback,0.55,"Unresolved words: apologetic, hopeful; used text-level fallback.",false
S0072,I might've said that.  Why is that funny?,"Monica: Ok, hypothetically, why won't I be married when I'm 40? Chandler: Really?! That's what you heard?  You said that? Chandler: No, no, no.",neutral,confusion|curiosity,confusion|curiosity,neutral,heuristic_llm_fallback,0.55,"Unresolved words: confusion, curiosity; used text-level fallback.",false
S0071,"See, yes.","Chandler: I know. Ross: Okay, thats a fire. Oh yeah. Oh yeah.",neutral,,,neutral,default_neutral,0.4,No mappable emotion words found.,false
S0074,Stop making candy!,"Monica: Its unbelievable! I-I cant believe that sign didnt work! Tommy: You were gonna spill hot coffee all over me, huh?!! Chandler: Yknow what would work?",anger,annoyed|frustrated,annoyed|frustrated,anger,dictionary,0.8500000000000001,Dictionary majority vote over normalized emotion words.,false
S0073,"We did have fun, didn't we?","Rachel: It wouldn't have mattered anyway, Phoebe, you and I are, are gonna live together, we're roommates; that's the deal. Phoebe: Yes, but I wanted you to want to live with me, but okay, if you're having so much fun over here Rachel: Oh, it's so much more fun with you.",joy,affection|contentment,affection|contentment,neutral,heuristic_llm_fallback,0.55,"Unresolved words: affection, contentment; used text-level fallback.",false
S0075,"Umm, going to the beach. When it stays light real late.",Tommy: Huh? Rachel: Whats your favourite thing about summertime? Chandler: You mean they like you.,neutral,nostalgic|reflective,nostalgic|reflective,neutral,heuristic_llm_fallback,0.55,"Unresolved words: nostalgic, reflective; used text-level fallback.",false
S0076,What? We could do it!,"Rachel: Uh, wait, so you guys are telling me you actually did the routine from eighth grade? Monica: Yeah. But of course we had to update it a little bit.  Hey, by the way, great thinking about catching me! Rachel: Cos I was gonna say theres no way you couldve done the end the way you guys did it back then!",surprise,surprise|excitement,surprise|excitement,neutral,default_neutral,0.4,No mappable emotion words found.,false
S0077,"Eight and a half hours of aptitude tests, intelligence tests, personality tests... and what do I learn?","Monica: And y'know what, I get excited about stupid stuff, like when I my Rachel: My God! What happened to you? Julio: Whoa, whoa, whoa.",disgust,frustration|exhaustion,frustration|exhaustion,neutral,heuristic_llm_fallback,0.55,"Unresolved words: frustration, exhaustion; used text-level fallback.",false
S0078,"Why would you ruin it, who was that hurtin'?","Joey: Oh, ain't that nice? The three of you trying on slutty lingerie together. Woman: Really?! Rachel: That's not what we're gonna do!",disgust,confusion|disapproval,confusion|disapproval,neutral,heuristic_llm_fallback,0.55,"Unresolved words: confusion, disapproval; used text-level fallback.",false
S0079,"Well lets see, there was the guy with the ferrets, thats plural.","Rachel: What did, what did he say? Phoebe: Why, nobody good? Ross: Basically he told me to get over myself and just do it, ya know.",disgust,thoughtful|reflective,thoughtful|reflective,neutral,heuristic_llm_fallback,0.55,"Unresolved words: thoughtful, reflective; used text-level fallback.",false
S0080,"Well, I y'know, I was just, umm, I was just thinking and hoping, that umm, maybe youd want to get back together?",,fear,hopeful|nervous,hopeful|nervous,fear,hybrid_dictionary_plus_fallback,0.75,Dictionary majority vote over normalized emotion words.,false
S0081,"Well I, I don't know. Why?","Ross: No-no, he's, he's very docile. Ross: Does it?! Dr. Baldhara: Even if he were... cornered?",neutral,confusion|uncertainty,confusion|uncertainty,neutral,heuristic_llm_fallback,0.55,"Unresolved words: confusion, uncertainty; used text-level fallback.",false
S0082,What are you doing? We're going to a hospital.,"Monica: No, no! Give it to me! Ross: Yeah, save it for the cab, okay. Phoebe: You can't have it.",surprise,curious|urgent,curious|urgent,neutral,heuristic_llm_fallback,0.55,"Unresolved words: curious, urgent; used text-level fallback.",false
S0083,"Because with seahorses its the male, they carry the babies.","Rachel: You. Like you havent done enough. Ross: Look, I-I know how miserable you are, I wish there was something I can do. Ross: I mean I wish I were a seahorse.",neutral,reflective|explanatory,reflective|explanatory,neutral,heuristic_llm_fallback,0.55,"Unresolved words: reflective, explanatory; used text-level fallback.",false
S0084,I cant watch!,"Joey: All right, I know! I know. Yeah, itll be okay. Chandler: You know it? Rachel: Oh my God.Whats he gonna do now?",fear,distressed|shocked,distressed|shocked,surprise,hybrid_dictionary_plus_fallback,0.75,Dictionary majority vote over normalized emotion words.,false
S0085,"Seriously, how can you watch this?","Rachel: I cant watch! Chandler: Oh, sure, they love us over there. Rachel: Oh.",sadness,disgust|frustration,disgust|frustration,disgust,hybrid_dictionary_plus_fallback,0.75,Dictionary majority vote over normalized emotion words.,false
S0086,"Yeah, she clamed she had to go out of town suddenly.","Phoebe: She cancelled! My namesake cancelled on me! Rachel: Even when I found outumm, all right, well let's just say I found something out something about someone and let's just say she's gonna keep it. Joey: What?!",sadness,disappointment|frustration,disappointment|frustration,sadness,hybrid_dictionary_plus_fallback,0.75,Dictionary majority vote over normalized emotion words.,false
S0088,"But we haven't seen each other since then. Well I land in China, guess who's in charge of the dig.",,surprise,surprise|curiosity,surprise|curiosity,surprise,hybrid_dictionary_plus_fallback,0.75,Dictionary majority vote over normalized emotion words.,false
S0087,"Really?  My God, hes really cute.",Ross: Hi. Phoebe: Oh my God! That guy at the counter is totally checking you out!,surprise,surprise|admiration,surprise|admiration,surprise,hybrid_dictionary_plus_fallback,0.75,Dictionary majority vote over normalized emotion words.,false
S0089,Have fun.,"Director: Aw come on Joey, it's easy. Director: Y'know, it's hand, hand, head, head,  up, pas de bouree, pas de bouree, big turn here, grand sissone, sissone, sissone, slide back, step, step, step, and jazz hands! Joey: It's ah, step-ity, step and jazz hands.",neutral,encouraging|supportive,encouraging|supportive,neutral,heuristic_llm_fallback,0.55,"Unresolved words: encouraging, supportive; used text-level fallback.",false
S0090,"Phoebe, come on, you have to tell us.","Chandler: Why not? Phoebe: I cant say because hes famous. Rachel: Oh my God, who is it?!",anger,curiosity|impatience,curiosity|impatience,surprise,heuristic_llm_fallback,0.55,"Unresolved words: curiosity, impatience; used text-level fallback.",false
S0091,"Come here to me. No-no, you come here to me.",,neutral,urgent|demanding,urgent|demanding,neutral,heuristic_llm_fallback,0.55,"Unresolved words: urgent, demanding; used text-level fallback.",false
S0092,"Hey, hey, Yertle the Turtle. A classic.","Susan: Yes, I'm familiar with the concept. We can just look for it. Ross: Ok.  Wow, you guys sure have a lot of books about bein' a lesbian. Susan: Well, you know, you have to take a course. Otherwise, they don't let you do it.",joy,,,neutral,default_neutral,0.4,No mappable emotion words found.,false
S0093,"How could you pick up a hitchhiker?! He could be a rape, a rapist or a killer or something!",,fear,shock|alarm,shock|alarm,surprise,hybrid_dictionary_plus_fallback,0.75,Dictionary majority vote over normalized emotion words.,false
S0094,No!,"Joey: Dont you think I asked him that before he got in?! Emily: And then the florist phoned to say there arent any tulips. Phoebe: Yknow what? Im not talking to you! You go back to sleep!  And you, are you a rapist?!",anger,shock|defiance,shock|defiance,surprise,hybrid_dictionary_plus_fallback,0.75,Dictionary majority vote over normalized emotion words.,false
S0095,How rude.,"Chandler: Oh all right. Ross: Oh perfect, we were just gonna see if you wanted to go. Chandler: Oh well, we dont because we gottheother pl-place.",disgust,disapproval|annoyance,disapproval|annoyance,anger,hybrid_dictionary_plus_fallback,0.75,Dictionary majority vote over normalized emotion words.,false
S0096,"Oh no, no-no-no-no! I don't want to know!","Rachel: Okay. Okay. Okay. Joey, I have Joey: What-what is it, what is it? Rachel: Oh my God, it's so huge, but you just have to promise me that you cannot tell anyone.",fear,,,neutral,default_neutral,0.4,No mappable emotion words found.,false
