sample_id,dialogue_id,utterance_id,speaker,utterance,context,gold_label,prompt_type,input_condition,model_name,custom_id,raw_output,confidence,reason,is_demo,free_emotions,free_emotions_norm,mapped_label,mapping_method,mapping_confidence,mapping_reason,is_correct
S0014,40,8,Rachel,"Good-good, dont tell him. Dont tell him. Just have him call me okay?","Joey: What? II just figured since youre pregnant youre not gonna be seeing people. Rachel: Okay Joey, first of all Kash Ford is not people. Second of all, what did he say when you told him I was pregnant? Joey: I didnt tell him. I didnt know if you were telling people. This is back when I thought Kash was still people.",fear,open_vocab,text + context + image,qwen-vl-plus,open_vocab:S0014:text_plus_context_plus_image,"{\n  ""free_emotions"": [""cautious"", ""determined""],\n  ""confidence"": 0.85,\n  ""reason"": ""Rachel's tone and body language suggest she is being careful about sharing information while also showing determination to handle the situation her way.""\n}",0.85,Rachel's tone and body language suggest she is being careful about sharing information while also showing determination to handle the situation her way.,false,cautious|determined,cautious|determined,neutral,heuristic_llm_fallback,0.55,"Unresolved words: cautious, determined; used text-level fallback.",false
S0013,4,11,Woman,"Ross Geller, why do I know that name? Its uhWait!  Did you write this?","Ross: I find Marions views far too progressionist. Woman: Im sorry, who are you? Ross: Im a professor here uh, RossGeller.",surprise,open_vocab,text + context + image,qwen-vl-plus,open_vocab:S0013:text_plus_context_plus_image,"{\n  ""free_emotions"": [""surprise"", ""recognition""],\n  ""confidence"": 0.85,\n  ""reason"": ""The woman's expression and body language, combined with her utterance, suggest she is experiencing a moment of recognition or realization, likely triggered by the name 'Ross Geller' mentioned in the conversation.""\n}",0.85,"The woman's expression and body language, combined with her utterance, suggest she is experiencing a moment of recognition or realization, likely triggered by the name 'Ross Geller' mentioned in the conversation.",false,surprise|recognition,surprise|recognition,surprise,hybrid_dictionary_plus_fallback,0.75,Dictionary majority vote over normalized emotion words.,true
S0016,54,10,Joey,"Hey, if Little Joey's dead, then I got no reason to live!","Monica: Hey, Joey, what would you do if you were omnipotent? Joey: Probably kill myself! Monica: ..Excuse me?",sadness,open_vocab,text + context + image,qwen-vl-plus,open_vocab:S0016:text_plus_context_plus_image,"{\n  ""free_emotions"": [""despair"", ""melancholy""],\n  ""confidence"": 0.85,\n  ""reason"": ""Joey's statement about having no reason to live and his somber expression in the frames suggest deep despair and melancholy.""\n}",0.85,Joey's statement about having no reason to live and his somber expression in the frames suggest deep despair and melancholy.,false,despair|melancholy,despair|melancholy,neutral,heuristic_llm_fallback,0.55,"Unresolved words: despair, melancholy; used text-level fallback.",false
S0015,54,5,Rachel,"See, there's always one guy.  ""If I had a wish, I'd wish for three more wishes.""","Phoebe: If I were omnipotent for a day, I would want, um, world peace, no more hunger, good things for the rain-forest...And bigger boobs! Ross: Yeah, see.. you took mine. Chandler, what about you? Chandler: Uh, if I were omnipotent for a day, I'd.. make myself omnipotent forever.",disgust,open_vocab,text + context + image,qwen-vl-plus,open_vocab:S0015:text_plus_context_plus_image,"{\n  ""free_emotions"": [""sarcastic"", ""amused""],\n  ""confidence"": 0.85,\n  ""reason"": ""Rachel's tone and body language suggest she is making a sarcastic remark about the common trope of wishing for more wishes, while her slight smile indicates amusement.""\n}",0.85,"Rachel's tone and body language suggest she is making a sarcastic remark about the common trope of wishing for more wishes, while her slight smile indicates amusement.",false,sarcastic|amused,sarcastic|amused,joy,hybrid_dictionary_plus_fallback,0.75,Dictionary majority vote over normalized emotion words.,false
S0018,6,0,Phoebe,"Oh, it's so romantic to send people off on their honeymoon.",,joy,open_vocab,text + context + image,qwen-vl-plus,open_vocab:S0018:text_plus_context_plus_image,"{\n  ""free_emotions"": [""nostalgic"", ""affectionate""],\n  ""confidence"": 0.85,\n  ""reason"": ""Phoebe's statement about sending people off on their honeymoon suggests a reflective and warm sentiment, likely nostalgic and affectionate.""\n}",0.85,"Phoebe's statement about sending people off on their honeymoon suggests a reflective and warm sentiment, likely nostalgic and affectionate.",false,nostalgic|affectionate,nostalgic|affectionate,sadness,dictionary_tie_break,0.6,Dictionary labels tied; used first generated emotion as tie-break.,false
S0017,56,9,Joey,"Listen, I ah, I gotta say good bye, and-and I gotta say it quick cause this is killing me.","Joey: In a minute!! Lauren: So this is it? Victor? Joey: Yeah, I guess it is.",sadness,open_vocab,text + context + image,qwen-vl-plus,open_vocab:S0017:text_plus_context_plus_image,"{\n  ""free_emotions"": [""sadness"", ""urgency""],\n  ""confidence"": 0.85,\n  ""reason"": ""Joey's hesitant and rushed speech, combined with the somber expression in the visual frames, suggests a mix of sadness over parting and an urgent need to conclude the interaction.""\n}",0.85,"Joey's hesitant and rushed speech, combined with the somber expression in the visual frames, suggests a mix of sadness over parting and an urgent need to conclude the interaction.",false,sadness|urgency,sadness|urgency,sadness,hybrid_dictionary_plus_fallback,0.75,Dictionary majority vote over normalized emotion words.,true
S0019,67,6,Monica,Whats the charity?,"Chandler: Well, of course I do! My good friend Joey over here. Joey: Oh, Im sorry. Thank you Chandler. Rachel: Anyway, theres this big charity ball this weekend and Ralph Lauren bought a table, so I kinda have to go",neutral,open_vocab,text + context + image,qwen-vl-plus,open_vocab:S0019:text_plus_context_plus_image,"{\n  ""free_emotions"": [""curious"", ""inquisitive""],\n  ""confidence"": 0.85,\n  ""reason"": ""Monica's facial expression and tone suggest she is seeking information about the charity, indicating curiosity and inquisitiveness.""\n}",0.85,"Monica's facial expression and tone suggest she is seeking information about the charity, indicating curiosity and inquisitiveness.",false,curious|inquisitive,curious|inquisitive,surprise,hybrid_dictionary_plus_fallback,0.75,Dictionary majority vote over normalized emotion words.,false
S0020,81,0,Elizabeth,You wanted to see me Professor Geller?,,joy,open_vocab,text + context + image,qwen-vl-plus,open_vocab:S0020:text_plus_context_plus_image,"{\n  ""free_emotions"": [""curious"", ""polite""],\n  ""confidence"": 0.85,\n  ""reason"": ""Elizabeth's expression and body language suggest she is politely inquiring about the purpose of her visit, indicating curiosity.""\n}",0.85,"Elizabeth's expression and body language suggest she is politely inquiring about the purpose of her visit, indicating curiosity.",false,curious|polite,curious|polite,surprise,hybrid_dictionary_plus_fallback,0.75,Dictionary majority vote over normalized emotion words.,false
S0022,82,5,Joey,knock over the sandwich right when I was reaching for one!,"Joey: Anyway, it wasnt the robot, it was the guy who controls him. Joey: Yeah, he doesnt like me. Joey: He had C.H.E.E.S.E.",anger,open_vocab,text + context + image,qwen-vl-plus,open_vocab:S0022:text_plus_context_plus_image,"{\n  ""free_emotions"": [""frustration"", ""annoyance""],\n  ""confidence"": 0.85,\n  ""reason"": ""Joey's expression and tone suggest he is frustrated and annoyed by someone knocking over his sandwich.""\n}",0.85,Joey's expression and tone suggest he is frustrated and annoyed by someone knocking over his sandwich.,false,frustration|annoyance,frustration|annoyance,anger,dictionary,0.8500000000000001,Dictionary majority vote over normalized emotion words.,true
S0021,82,3,Joey,"Yeah, he doesnt like me.","Joey: Pretty great! Except I did get a little attitude from the robot. Chandler: Damn those robots, theyre supposed to be our Joey: Anyway, it wasnt the robot, it was the guy who controls him.",anger,open_vocab,text + context + image,qwen-vl-plus,open_vocab:S0021:text_plus_context_plus_image,"{\n  ""free_emotions"": [""disappointed"", ""frustrated""],\n  ""confidence"": 0.85,\n  ""reason"": ""Joey's facial expression and tone suggest he feels let down by someone, likely due to the context of his interaction with a controlling individual.""\n}",0.85,"Joey's facial expression and tone suggest he feels let down by someone, likely due to the context of his interaction with a controlling individual.",false,disappointed|frustrated,disappointed|frustrated,sadness,dictionary_tie_break,0.6,Dictionary labels tied; used first generated emotion as tie-break.,false
S0024,83,3,Monica,What?,Monica: Oh good God! If you want a baby so bad just go steal it! Monica: What is going on with you? Since when are you so crazy about babies? Chandler: Im not crazy about babies. Im crazy about us.,surprise,open_vocab,text + context + image,qwen-vl-plus,open_vocab:S0024:text_plus_context_plus_image,"{\n  ""free_emotions"": [""confusion"", ""amusement""],\n  ""confidence"": 0.85,\n  ""reason"": ""Monica's facial expression and tone suggest she is both confused by Chandler's statement and amused by the situation.""\n}",0.85,Monica's facial expression and tone suggest she is both confused by Chandler's statement and amused by the situation.,false,confusion|amusement,confusion|amusement,surprise,dictionary_tie_break,0.6,Dictionary labels tied; used first generated emotion as tie-break.,true
S0023,83,0,Monica,Oh good God! If you want a baby so bad just go steal it!,,anger,open_vocab,text + context + image,qwen-vl-plus,open_vocab:S0023:text_plus_context_plus_image,"{\n  ""free_emotions"": [""anger"", ""frustration""],\n  ""confidence"": 0.85,\n  ""reason"": ""Monica's exclamation 'Oh good God!' and the sarcastic suggestion to 'steal a baby' indicate strong irritation and frustration, likely in response to someone else's desire for a child.""\n}",0.85,"Monica's exclamation 'Oh good God!' and the sarcastic suggestion to 'steal a baby' indicate strong irritation and frustration, likely in response to someone else's desire for a child.",false,anger|frustration,anger|frustration,anger,dictionary,0.8500000000000001,Dictionary majority vote over normalized emotion words.,true
S0025,85,16,Joey,Ken Adams!!,"Rachel: I heard it from my friend Irene who heard it from some guy! Joey: Some guy!! Rachel: No. No, she told me his name was Ken Adams.",surprise,open_vocab,text + context + image,qwen-vl-plus,open_vocab:S0025:text_plus_context_plus_image,"{\n  ""free_emotions"": [""surprise"", ""excitement""],\n  ""confidence"": 0.85,\n  ""reason"": ""Joey's wide eyes and open mouth, along with his emphatic gesture, suggest a strong reaction of surprise and excitement upon hearing the name 'Ken Adams'.""\n}",0.85,"Joey's wide eyes and open mouth, along with his emphatic gesture, suggest a strong reaction of surprise and excitement upon hearing the name 'Ken Adams'.",false,surprise|excitement,surprise|excitement,surprise,dictionary_tie_break,0.6,Dictionary labels tied; used first generated emotion as tie-break.,true
S0026,86,2,Ross,Some days it's all I can think about.,"Ross: How we doing, you guys ready? Monica: Mom already called this morning to remind me not to wear my hair up. Did you know my ears are not my best feature?",neutral,open_vocab,text + context + image,qwen-vl-plus,open_vocab:S0026:text_plus_context_plus_image,"{\n  ""free_emotions"": [""preoccupation"", ""self-consciousness""],\n  ""confidence"": 0.85,\n  ""reason"": ""Ross's statement 'Some days it's all I can think about' suggests preoccupation, while Monica's actions and context imply self-consciousness about her appearance.""\n}",0.85,"Ross's statement 'Some days it's all I can think about' suggests preoccupation, while Monica's actions and context imply self-consciousness about her appearance.",false,preoccupation|self-consciousness,preoccupation|self-consciousness,neutral,heuristic_llm_fallback,0.55,"Unresolved words: preoccupation, self-consciousness; used text-level fallback.",true
S0028,90,2,Rachel,"I don't know, I just kinda ran into him last night.","Rachel: Ok, Paulo, why don't you just go get dressed, and then you be on your way, ok, bye-bye. Monica: Rachel, how did this happen?",fear,open_vocab,text + context + image,qwen-vl-plus,open_vocab:S0028:text_plus_context_plus_image,"{\n  ""free_emotions"": [""confused"", ""uncertain""],\n  ""confidence"": 0.85,\n  ""reason"": ""Rachel's body language and tone suggest she is unsure about the situation, as indicated by her shrugging gesture and the context of her not knowing how something happened.""\n}",0.85,"Rachel's body language and tone suggest she is unsure about the situation, as indicated by her shrugging gesture and the context of her not knowing how something happened.",false,confused|uncertain,confused|uncertain,surprise,dictionary_tie_break,0.6,Dictionary labels tied; used first generated emotion as tie-break.,false
